Country,Year_Semester,Definition,Value,Unit,Variable_ID,Equivalence,Aggregation_Level_1,Aggregation_Level_2,Aggregation_Level_3,Year_Date
Argentina,2006-II,Total Central Government Gross Debt ,162801,Millions of USD,totaldebt,(1),Total Gross Debt,Total Gross Debt,Total Gross Debt,
Argentina,2006-II,Gross Domestic Product ,236377,Millions of USD,gdp,(2),GDP,GDP,GDP,
Argentina,2006-II,Exchange Rate,3,Domestic currency per USD,exchangeratencperusd,-,FX rate (end of period),FX rate (end of period),FX rate (end of period),
Argentina,2006-II,Total Debt to GDP Ratio,69,% of GDP,debt_gdp,(3)=(1)/(2),Total Gross Debt/GDP,Total Gross Debt/GDP,Total Gross Debt/GDP,
Argentina,2006-II,Internal legislation debt to GDP Ratio,40,% of GDP,domestogdp,(4),Internal debt/ GDP,Internal debt/ GDP,Internal debt/ GDP,
Argentina,2006-II,External legislation debt to GDP Ratio,28,% of GDP,exttogdp,(5),External debt/GDP,External debt/GDP,External debt/GDP,
Argentina,2006-II,Total debt with Official Institutions (multilateral agencies and bilateral loans),21181,Millions of USD,officialdebt,(7),Total Official,Total Official,Total Official,
Argentina,2006-II,Total Non-official debt,141620,Millions of USD,totalnonofficialdebt,(8)=        (11)+(14)+(17),Total Non-official,Total Non-official,Total Non-official,
Argentina,2006-II,Bank Loans under external legislation,743,Millions of USD,foreignbanks,(9),Non Official,Bank,External,
Argentina,2006-II,Bank Loans under internal legislation,23887,Millions of USD,dombanks,(10),Non Official,Bank,Internal,
Argentina,2006-II,Total Debt with banks,24630,Millions of USD,totalbank,(11)=(9)+(10),Non Official,Bank,Total,
Argentina,2006-II,Marketable Instrument Debt under external legislation,19091,Millions of USD,ext_marketinstrument,(12),Non Official,Market instrument,External,
Argentina,2006-II,Marketable Instrument Debt under internal legislation,71823,Millions of USD,dom_market,(13),Non Official,Market instrument,Internal,
Argentina,2006-II,Total Marketable Instrument Debt,90914,Millions of USD,total_mkt,(14)=(12)+(13),Non Official,Market instrument,Total,
Argentina,2006-II,Other non-official under external legislation,26076,Millions of USD,ext_oth,(15),Non Official,Other,External ,
Argentina,2006-II,Other non-official under internal legislation,0,Millions of USD,int_oth,(16),Non Official,Other,Internal,
Argentina,2006-II,Total other non-official debt,26076,Millions of USD,tot_oth,(17)=(15)+(16),Non Official,Other,Total,
Argentina,2006-II,Percentage of internal legislation debt that is Official debt,0,% of Internal debt,offdom,0/(21),Non Official,Share of Internal ,Official,
Argentina,2006-II,Percentage of internal legislation debt that is Bank debt,25,% of Internal debt,bankdom,(10)/(21),Non Official,Share of Internal ,Bank,
Argentina,2006-II,Percentage of internal legislation debt that is Market debt,75,% of Internal debt,mardom,(13)/(21),Non Official,Share of Internal ,Marketeable,
Argentina,2006-II,Percentage of internal legislation debt that is Other debt,0,% of Internal debt,othdom,(16)/(21),Non Official,Share of Internal ,Other,
Argentina,2006-II,Sum of all shares of internal legislation debt,100,% of Internal debt,credtype_int_sumshares,-,Non Official,Share of Internal ,Sum shares,
Argentina,2006-II,Percentage of external legislation debt that is Official debt,32,% of external debt,offext,(7)/(20),Non Official,Share of external ,Official,
Argentina,2006-II,Percentage of external legislation debt that is Bank debt,1,% of external debt,bankext,(9)/(20),Non Official,Share of external ,Bank,
