Operation number,Output Description,Georeference,Country Name,Administrative code level 1,Administrative name level 1,Administrative code level 2,Administrative name level 2,Administrative code level 3,Administrative name level 3,Geoname ID,GeoNames Feature Code,Location Type
AR-L1003,5 iniciativas de Refuerzo de la Competitividad (IRC) implementadas.,"-33.029,-68.8702",Argentina,13,Mendoza,,,,,3845392,RSTN,Exact Location
AR-L1003,791 participantes en los programas de formación técnica-profesional certificados en el área de su formación,"-33.2019,-68.8907",Argentina,13,Mendoza,,,,,3833454,PPL,Exact Location
AR-L1003,116 participantes en los servicios de nivelación escolar con tercer ciclo de la educación básica concluida.,"-35.4807,-69.5983",Argentina,13,Mendoza,,,,,3845181,PPLA2,Exact Location
AR-L1003,"Ruta Provincial N°10, Tramo: Acceso Sur - Calle Maza. Departamento de Maipú. (4.4 km)","-32.969,-68.8332",Argentina,13,Mendoza,,,,,3852207,PPL,Exact Location
AR-L1003,Intervención Acceso Parque Aconcagua. Departamento Las Heras. (1.5 km),"-32.8238,-69.942",Argentina,13,Mendoza,,,,,3854226,STM,Exact Location
AR-L1003,"Progreso: Esta ruta es parte del Circuito Productivo que conecta las localidades de Lujan y Las Heras, ubicado en la parte Noroeste de la Provincia de Mendoza. El circuito es de gran importancia para la actividad turística.","-32.992,-69.164",Argentina,13,Mendoza,,,,,3863558,STM,Exact Location
AR-L1003,"Ruta Provincial N°87, Tramo: Rotonda Saenz Peña - Empalme Ruta Provincial N°84. (4.3 km)","-33.047,-68.9301",Argentina,13,Mendoza,,,,,3844943,STMI,Exact Location
AR-L1003,"Esta ruta es parte del Circuito Productivo-Turístico Tupungato, ubicado en la parte Noroeste de la Provincia, que conjuga cadenas agrícolas, vitivinícolas, industriales y turísticas en el Valle de Uco y al pie del Cordón de la Plata.","-33.6016,-69.3843",Argentina,13,Mendoza,,,,,3849168,RNCH,Exact Location
AR-L1003,"Esta ruta se ubica en el Circuito Turístico-Minero San Rafael, ubicado en la parte Central de la Provincia, y que posee una alta importancia turística, vitivinícola e industrial.","-35.0051,-68.6847",Argentina,13,Mendoza,,,,,3843075,FLLS,Exact Location
AR-L1003,"Ruta Provincial N°180, Tramo: Ruta Nacional N°144 - Nihuil. Departamento San Rafael. (22 km)","-35.0326,-68.6727",Argentina,13,Mendoza,,,,,3857497,PPL,Exact Location
AR-L1004,"Viejo Expreso Patagónico: Reacondicionamiento de Taller y Museo Ferroviario de El Maitén. Parque Temático Ferro Urbano Turístico de Esquel. Mejoramiento Estación Nahuel Pan. Inversión en Material Rodante, Mejoramiento y Mantenimiento de Vías.","-42.9042,-71.3186",Argentina,4,Chubut,3855298,Departamento de Futaleufú,,,3855974,PPL,Exact Location
AR-L1004,"Consolidación del Templo, Residencia, Huerto y Cerco Perimetral. Se intervinieron aproximadamente 1008 m3 de muros, con anastilosis (reconstrucción fehaciente en base a documentación gráfica comprobada), tratamiento de superficies superiores o coronamiento, limpieza de  caras laterales y remoción de elementos parásitos vegetales, y  donde necesario,  estructuras auxiliares de apuntalamientos para evitar desplomes. También se realizaron obras en los pisos cerámicos originales.","-27.2551,-55.5314",Argentina,14,Misiones,,,,,6639662,MSSNQ,Exact Location
AR-L1004,"En 2011 entró en erupción el complejo volcánico Puyehue. Entre las regiones afectadas se encontraba Villa La Angostura.Las cenizas, gases y arenas emitidas y dispersas afectaron la salud de la población, el territorio, la flora y fauna y las zonas de esquí. El efecto sobre la economía fue devastador. Con el Programa se rehabilitaron líneas eléctricas, viviendas y el sistema de agua potable; y se removieron las cenizas volcánicas. El área retomó la aptitud física en segundo trimestre de 2012.","-40.7599,-71.6438",Argentina,15,Neuquen,,,,,3832711,PPL,Exact Location
AR-L1004,Revisión de la gráfica de corte y de impresión.Revisión y repaso de pintura de postes.Verificación de la fijación de las chapas a los postes y deéstos al suelo.,"-42.0947,-71.6185",Argentina,0,,,,,,3865134,STM,Exact Location
